ALV-7012 CGS-12F Data, Single Run Data
Date :	"6/14/2022"
Time :	"2:05:40 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     685.00000
Angle(1)[°]     :	      44.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      64.00000
Angle(4)[°]     :	      81.00000
Angle(5)[°]     :	      99.00000
Angle(6)[°]     :	     117.00000
Angle(7)[°]     :	     134.00000
Angle(8)[°]     :	     147.00000
Angle(9)[°]     :	       0.00000
Angle(10)[°]     :	       0.00000
Angle(11)[°]     :	       0.00000
Angle(12)[°]     :	       0.00000
Duration [s]    :	           9.9
Runs            :	         1
Mode            :	"12 x AUTO 25 ns STC"
MeanCR1 [kHz]   :	     476.43103
MeanCR2 [kHz]   :	     439.73154
MeanCR3 [kHz]   :	     423.16791
MeanCR4 [kHz]   :	     426.58136
MeanCR5 [kHz]   :	      94.35654
MeanCR6 [kHz]   :	     200.85468
MeanCR7 [kHz]   :	     232.42787
MeanCR8 [kHz]   :	     348.15555
MeanCR9 [kHz]   :	       0.00000
MeanCR10 [kHz]   :	       0.00000
MeanCR11 [kHz]   :	       0.00000
MeanCR12 [kHz]   :	       0.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000
DC[9][kHz]      :	       0.00000
DC[10][kHz]      :	       0.00000
DC[11][kHz]      :	       0.00000
DC[12][kHz]      :	       0.00000

"Correlation"
  2.50000E-005	  4.34324E-001	 -6.03067E-001	  1.80237E-001	  1.80069E-001	 -4.57125E-001	 -5.82036E-001	 -5.94803E-001	  1.72570E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  5.00000E-005	  7.16805E-001	  4.59311E-001	  3.86851E-001	  3.86444E-001	  4.56328E-001	  7.14006E-001	  2.18372E-001	  2.89181E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  7.50000E-005	  6.56304E-001	  5.08715E-001	  3.65118E-001	  3.63964E-001	  3.74281E-001	  2.33875E-001	  1.92906E-001	  2.01497E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.00000E-004	  6.49582E-001	  5.02859E-001	  3.53696E-001	  3.48755E-001	  3.17760E-001	  5.80519E-001	  1.63985E-001	  2.04577E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.25000E-004	  6.44379E-001	  4.78745E-001	  3.57480E-001	  3.46480E-001	  3.13658E-001	  2.25426E-001	  1.65262E-001	  2.04008E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.50000E-004	  6.35279E-001	  4.88903E-001	  3.53718E-001	  3.46904E-001	  3.52858E-001	  4.70370E-001	  1.68943E-001	  1.82313E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.75000E-004	  6.35690E-001	  4.86846E-001	  3.55327E-001	  3.47082E-001	  3.00895E-001	  2.08928E-001	  1.77131E-001	  1.87134E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.00000E-004	  6.33348E-001	  4.89470E-001	  3.58976E-001	  3.32230E-001	  2.87676E-001	  3.78327E-001	  1.72398E-001	  1.85996E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.25000E-004	  6.26107E-001	  4.76772E-001	  3.46897E-001	  3.41306E-001	  2.89044E-001	  2.00981E-001	  1.57449E-001	  1.76186E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.50000E-004	  6.28306E-001	  4.84160E-001	  3.44110E-001	  3.44116E-001	  2.91323E-001	  2.91716E-001	  1.73826E-001	  1.72202E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.75000E-004	  6.29862E-001	  4.84915E-001	  3.46262E-001	  3.46346E-001	  3.01806E-001	  1.93739E-001	  1.71647E-001	  1.81811E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  3.00000E-004	  6.30648E-001	  4.86175E-001	  3.51724E-001	  3.41195E-001	  2.85853E-001	  2.50272E-001	  1.66915E-001	  1.75081E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  3.25000E-004	  6.19170E-001	  4.63277E-001	  3.36722E-001	  3.40481E-001	  2.73546E-001	  2.35586E-001	  1.66539E-001	  1.83518E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  3.50000E-004	  6.21816E-001	  4.94527E-001	  3.44631E-001	  3.35463E-001	  2.85397E-001	  2.37195E-001	  1.54595E-001	  1.77057E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
