ALV-7012 CGS-12F Data, Single Run Data
Date :	"6/14/2022"
Time :	"2:06:31 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     685.00000
Angle(1)[°]     :	      44.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      64.00000
Angle(4)[°]     :	      81.00000
Angle(5)[°]     :	      99.00000
Angle(6)[°]     :	     117.00000
Angle(7)[°]     :	     134.00000
Angle(8)[°]     :	     147.00000
Angle(9)[°]     :	       0.00000
Angle(10)[°]     :	       0.00000
Angle(11)[°]     :	       0.00000
Angle(12)[°]     :	       0.00000
Duration [s]    :	           9.9
Runs            :	         1
Mode            :	"12 x AUTO 25 ns STC"
MeanCR1 [kHz]   :	     538.02985
MeanCR2 [kHz]   :	     439.91486
MeanCR3 [kHz]   :	     422.05759
MeanCR4 [kHz]   :	     428.35907
MeanCR5 [kHz]   :	      94.60155
MeanCR6 [kHz]   :	     201.82590
MeanCR7 [kHz]   :	     232.61832
MeanCR8 [kHz]   :	     349.66843
MeanCR9 [kHz]   :	       0.00000
MeanCR10 [kHz]   :	       0.00000
MeanCR11 [kHz]   :	       0.00000
MeanCR12 [kHz]   :	       0.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000
DC[9][kHz]      :	       0.00000
DC[10][kHz]      :	       0.00000
DC[11][kHz]      :	       0.00000
DC[12][kHz]      :	       0.00000

"Correlation"
  2.50000E-005	  4.46755E-001	 -5.89977E-001	  1.77251E-001	  1.82547E-001	 -4.42248E-001	 -5.85251E-001	 -5.77241E-001	  1.65201E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  5.00000E-005	  7.60221E-001	  4.84160E-001	  4.02997E-001	  3.98603E-001	  4.80989E-001	  7.28135E-001	  1.92004E-001	  2.57040E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  7.50000E-005	  7.03192E-001	  5.12553E-001	  3.76843E-001	  3.60408E-001	  3.67172E-001	  2.17247E-001	  1.90279E-001	  2.07652E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.00000E-004	  7.03809E-001	  5.12071E-001	  3.73676E-001	  3.55608E-001	  3.44952E-001	  5.80986E-001	  1.75504E-001	  1.90957E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.25000E-004	  6.94444E-001	  4.92863E-001	  3.56772E-001	  3.49349E-001	  3.21826E-001	  2.31693E-001	  1.81579E-001	  1.75622E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.50000E-004	  6.86761E-001	  5.08276E-001	  3.61853E-001	  3.39685E-001	  3.05955E-001	  4.64023E-001	  1.65605E-001	  1.82858E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.75000E-004	  6.80327E-001	  4.91605E-001	  3.83723E-001	  3.52755E-001	  2.81468E-001	  2.32589E-001	  1.62080E-001	  2.00881E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.00000E-004	  6.90462E-001	  4.90137E-001	  3.63949E-001	  3.47956E-001	  2.75120E-001	  3.87709E-001	  1.65680E-001	  1.74096E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.25000E-004	  6.81714E-001	  4.91437E-001	  3.59324E-001	  3.31059E-001	  3.10490E-001	  2.07782E-001	  1.62455E-001	  1.77481E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.50000E-004	  6.78784E-001	  4.98462E-001	  3.65316E-001	  3.36057E-001	  3.03234E-001	  3.11394E-001	  1.65155E-001	  1.77017E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
