ALV-7012 CGS-12F Data, Single Run Data
Date :	"6/14/2022"
Time :	"2:05:20 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     685.00000
Angle(1)[°]     :	      44.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      64.00000
Angle(4)[°]     :	      81.00000
Angle(5)[°]     :	      99.00000
Angle(6)[°]     :	     117.00000
Angle(7)[°]     :	     134.00000
Angle(8)[°]     :	     147.00000
Angle(9)[°]     :	       0.00000
Angle(10)[°]     :	       0.00000
Angle(11)[°]     :	       0.00000
Angle(12)[°]     :	       0.00000
Duration [s]    :	           9.9
Runs            :	         1
Mode            :	"12 x AUTO 25 ns STC"
MeanCR1 [kHz]   :	     527.60699
MeanCR2 [kHz]   :	     444.92194
MeanCR3 [kHz]   :	     434.27429
MeanCR4 [kHz]   :	     431.22900
MeanCR5 [kHz]   :	      95.01133
MeanCR6 [kHz]   :	     202.26804
MeanCR7 [kHz]   :	     233.33144
MeanCR8 [kHz]   :	     348.12399
MeanCR9 [kHz]   :	       0.00000
MeanCR10 [kHz]   :	       0.00000
MeanCR11 [kHz]   :	       0.00000
MeanCR12 [kHz]   :	       0.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000
DC[9][kHz]      :	       0.00000
DC[10][kHz]      :	       0.00000
DC[11][kHz]      :	       0.00000
DC[12][kHz]      :	       0.00000

"Correlation"
  2.50000E-005	  4.68588E-001	 -5.98621E-001	  1.80526E-001	  1.83008E-001	 -4.47499E-001	 -5.83393E-001	 -5.88319E-001	  1.63172E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  5.00000E-005	  7.79328E-001	  4.66011E-001	  3.85680E-001	  4.00650E-001	  4.57003E-001	  7.10669E-001	  2.24084E-001	  2.56498E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  7.50000E-005	  7.33887E-001	  5.06827E-001	  3.62612E-001	  3.68744E-001	  3.51358E-001	  2.51310E-001	  1.79137E-001	  2.12230E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.00000E-004	  7.17646E-001	  5.01497E-001	  3.58546E-001	  3.58335E-001	  3.36523E-001	  5.74280E-001	  1.54167E-001	  1.93444E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.25000E-004	  7.22078E-001	  4.87475E-001	  3.53489E-001	  3.49671E-001	  2.83925E-001	  2.00325E-001	  1.65795E-001	  1.81422E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.50000E-004	  7.09468E-001	  4.82616E-001	  3.55447E-001	  3.50435E-001	  3.01458E-001	  4.64673E-001	  1.79734E-001	  1.82762E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.75000E-004	  7.02018E-001	  4.83129E-001	  3.54672E-001	  3.48994E-001	  2.97412E-001	  2.47144E-001	  1.56477E-001	  1.73687E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.00000E-004	  7.09031E-001	  4.74621E-001	  3.57513E-001	  3.46288E-001	  2.92017E-001	  3.66968E-001	  1.50365E-001	  1.65650E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.25000E-004	  7.07456E-001	  4.94199E-001	  3.52951E-001	  3.52486E-001	  2.78980E-001	  2.13716E-001	  1.45595E-001	  1.69166E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.50000E-004	  7.06217E-001	  4.71977E-001	  3.55318E-001	  3.51657E-001	  2.67741E-001	  2.94856E-001	  1.67956E-001	  1.79547E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
