ALV-7012 CGS-12F Data, Single Run Data
Date :	"6/14/2022"
Time :	"2:06:01 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     685.00000
Angle(1)[°]     :	      44.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      64.00000
Angle(4)[°]     :	      81.00000
Angle(5)[°]     :	      99.00000
Angle(6)[°]     :	     117.00000
Angle(7)[°]     :	     134.00000
Angle(8)[°]     :	     147.00000
Angle(9)[°]     :	       0.00000
Angle(10)[°]     :	       0.00000
Angle(11)[°]     :	       0.00000
Angle(12)[°]     :	       0.00000
Duration [s]    :	           9.9
Runs            :	         1
Mode            :	"12 x AUTO 25 ns STC"
MeanCR1 [kHz]   :	     520.62238
MeanCR2 [kHz]   :	     433.79642
MeanCR3 [kHz]   :	     421.88300
MeanCR4 [kHz]   :	     432.12323
MeanCR5 [kHz]   :	      95.24142
MeanCR6 [kHz]   :	     200.70309
MeanCR7 [kHz]   :	     233.45338
MeanCR8 [kHz]   :	     348.29932
MeanCR9 [kHz]   :	       0.00000
MeanCR10 [kHz]   :	       0.00000
MeanCR11 [kHz]   :	       0.00000
MeanCR12 [kHz]   :	       0.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000
DC[9][kHz]      :	       0.00000
DC[10][kHz]      :	       0.00000
DC[11][kHz]      :	       0.00000
DC[12][kHz]      :	       0.00000

"Correlation"
  4.00000E-004	  6.57486E-001	  4.91537E-001	  3.50850E-001	  3.40472E-001	  3.04572E-001	  2.06675E-001	  1.59142E-001	  1.69963E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  4.50000E-004	  6.56880E-001	  4.76603E-001	  3.49083E-001	  3.43548E-001	  2.66993E-001	  2.03753E-001	  1.75449E-001	  1.68675E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  5.00000E-004	  6.57134E-001	  4.80657E-001	  3.57075E-001	  3.34463E-001	  3.09271E-001	  2.03955E-001	  1.67221E-001	  1.72957E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  5.50000E-004	  6.53960E-001	  4.87645E-001	  3.43714E-001	  3.36050E-001	  2.95625E-001	  2.02443E-001	  1.60296E-001	  1.72355E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  6.00000E-004	  6.57127E-001	  4.85402E-001	  3.45720E-001	  3.36289E-001	  3.05692E-001	  1.94636E-001	  1.64690E-001	  1.74898E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  6.50000E-004	  6.56790E-001	  4.87472E-001	  3.47248E-001	  3.38376E-001	  2.93165E-001	  1.90807E-001	  1.63052E-001	  1.73409E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  7.00000E-004	  6.48046E-001	  4.74587E-001	  3.44135E-001	  3.38365E-001	  2.93836E-001	  2.09193E-001	  1.54675E-001	  1.64377E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  7.50000E-004	  6.52934E-001	  4.78598E-001	  3.52788E-001	  3.31008E-001	  3.22468E-001	  1.93276E-001	  1.52180E-001	  1.71235E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  8.00000E-004	  6.53724E-001	  4.84728E-001	  3.43155E-001	  3.32062E-001	  2.96744E-001	  1.93981E-001	  1.64225E-001	  1.73877E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  9.00000E-004	  6.55528E-001	  4.82496E-001	  3.46723E-001	  3.34931E-001	  2.84441E-001	  2.11435E-001	  1.59161E-001	  1.73777E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.00000E-003	  6.52957E-001	  4.86335E-001	  3.49055E-001	  3.38207E-001	  3.00323E-001	  1.96953E-001	  1.59031E-001	  1.67036E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.10000E-003	  6.50172E-001	  4.84561E-001	  3.40037E-001	  3.32035E-001	  2.99428E-001	  1.97734E-001	  1.61749E-001	  1.69821E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.20000E-003	  6.55244E-001	  4.81213E-001	  3.49402E-001	  3.37295E-001	  3.11060E-001	  1.98615E-001	  1.58882E-001	  1.66969E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
