ALV-7012 CGS-12F Data, Single Run Data
Date :	"6/14/2022"
Time :	"2:06:11 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     685.00000
Angle(1)[°]     :	      44.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      64.00000
Angle(4)[°]     :	      81.00000
Angle(5)[°]     :	      99.00000
Angle(6)[°]     :	     117.00000
Angle(7)[°]     :	     134.00000
Angle(8)[°]     :	     147.00000
Angle(9)[°]     :	       0.00000
Angle(10)[°]     :	       0.00000
Angle(11)[°]     :	       0.00000
Angle(12)[°]     :	       0.00000
Duration [s]    :	           9.9
Runs            :	         1
Mode            :	"12 x AUTO 25 ns STC"
MeanCR1 [kHz]   :	     486.86395
MeanCR2 [kHz]   :	     442.49515
MeanCR3 [kHz]   :	     428.80484
MeanCR4 [kHz]   :	     430.67142
MeanCR5 [kHz]   :	      95.33223
MeanCR6 [kHz]   :	     201.78430
MeanCR7 [kHz]   :	     232.94682
MeanCR8 [kHz]   :	     347.60538
MeanCR9 [kHz]   :	       0.00000
MeanCR10 [kHz]   :	       0.00000
MeanCR11 [kHz]   :	       0.00000
MeanCR12 [kHz]   :	       0.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000
DC[9][kHz]      :	       0.00000
DC[10][kHz]      :	       0.00000
DC[11][kHz]      :	       0.00000
DC[12][kHz]      :	       0.00000

"Correlation"
  2.50000E-005	  4.20866E-001	 -5.95408E-001	  1.81458E-001	  1.80363E-001	 -4.69520E-001	 -5.91459E-001	 -5.87108E-001	  1.66814E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  5.00000E-005	  6.99914E-001	  4.85950E-001	  3.83889E-001	  3.86885E-001	  4.99455E-001	  7.18383E-001	  2.27383E-001	  2.60586E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  7.50000E-005	  6.53089E-001	  5.18406E-001	  3.56367E-001	  3.64917E-001	  3.86929E-001	  2.62799E-001	  1.83484E-001	  2.06882E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.00000E-004	  6.39804E-001	  5.14365E-001	  3.49679E-001	  3.46582E-001	  3.36024E-001	  5.72568E-001	  1.81839E-001	  1.95396E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.25000E-004	  6.27083E-001	  5.08499E-001	  3.62083E-001	  3.51396E-001	  3.20842E-001	  2.49244E-001	  1.62320E-001	  1.82331E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.50000E-004	  6.22889E-001	  4.96644E-001	  3.57691E-001	  3.45663E-001	  3.60583E-001	  4.57351E-001	  1.58206E-001	  1.79610E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.75000E-004	  6.20577E-001	  5.09059E-001	  3.49260E-001	  3.48551E-001	  3.04320E-001	  2.25523E-001	  1.56411E-001	  1.84950E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.00000E-004	  6.20081E-001	  5.02883E-001	  3.47318E-001	  3.41813E-001	  2.77082E-001	  3.82500E-001	  1.62768E-001	  1.81122E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.25000E-004	  6.21262E-001	  4.99090E-001	  3.48642E-001	  3.41397E-001	  2.93604E-001	  2.30506E-001	  1.73388E-001	  1.84211E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.50000E-004	  6.24224E-001	  5.11650E-001	  3.54160E-001	  3.49361E-001	  2.88692E-001	  3.08247E-001	  1.75706E-001	  1.70743E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.75000E-004	  6.24806E-001	  4.99774E-001	  3.43588E-001	  3.43891E-001	  3.00748E-001	  2.22134E-001	  1.56411E-001	  1.80148E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  3.00000E-004	  6.14568E-001	  5.10634E-001	  3.53167E-001	  3.48158E-001	  3.00748E-001	  2.35689E-001	  1.46615E-001	  1.89484E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  3.25000E-004	  6.14842E-001	  4.99111E-001	  3.48620E-001	  3.31989E-001	  3.10572E-001	  2.13762E-001	  1.61347E-001	  1.68426E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  3.50000E-004	  6.16075E-001	  5.12147E-001	  3.45000E-001	  3.38574E-001	  3.00748E-001	  2.03795E-001	  1.62469E-001	  1.79207E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  3.75000E-004	  6.10339E-001	  5.00333E-001	  3.45640E-001	  3.42622E-001	  2.81101E-001	  2.17649E-001	  1.47886E-001	  1.78099E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  4.00000E-004	  6.11170E-001	  5.00022E-001	  3.42473E-001	  3.36310E-001	  3.07446E-001	  1.98563E-001	  1.62469E-001	  1.76974E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  4.50000E-004	  6.12000E-001	  5.08893E-001	  3.51942E-001	  3.41342E-001	  3.16377E-001	  2.02998E-001	  1.62170E-001	  1.75513E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
