ALV-7012 CGS-12F Data, Single Run Data
Date :	"6/14/2022"
Time :	"2:05:30 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     685.00000
Angle(1)[°]     :	      44.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      64.00000
Angle(4)[°]     :	      81.00000
Angle(5)[°]     :	      99.00000
Angle(6)[°]     :	     117.00000
Angle(7)[°]     :	     134.00000
Angle(8)[°]     :	     147.00000
Angle(9)[°]     :	       0.00000
Angle(10)[°]     :	       0.00000
Angle(11)[°]     :	       0.00000
Angle(12)[°]     :	       0.00000
Duration [s]    :	           9.9
Runs            :	         1
Mode            :	"12 x AUTO 25 ns STC"
MeanCR1 [kHz]   :	     480.16031
MeanCR2 [kHz]   :	     432.11948
MeanCR3 [kHz]   :	     431.79187
MeanCR4 [kHz]   :	     432.01010
MeanCR5 [kHz]   :	      94.64335
MeanCR6 [kHz]   :	     200.14580
MeanCR7 [kHz]   :	     232.15933
MeanCR8 [kHz]   :	     347.79520
MeanCR9 [kHz]   :	       0.00000
MeanCR10 [kHz]   :	       0.00000
MeanCR11 [kHz]   :	       0.00000
MeanCR12 [kHz]   :	       0.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000
DC[9][kHz]      :	       0.00000
DC[10][kHz]      :	       0.00000
DC[11][kHz]      :	       0.00000
DC[12][kHz]      :	       0.00000

"Correlation"
  2.50000E-005	  4.44940E-001	 -5.91024E-001	  1.93051E-001	  1.76973E-001	 -4.47272E-001	 -5.85351E-001	 -5.91606E-001	  1.68728E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  5.00000E-005	  7.20058E-001	  4.79708E-001	  4.08667E-001	  3.91871E-001	  4.61106E-001	  6.74097E-001	  1.92656E-001	  2.58774E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  7.50000E-005	  6.65228E-001	  5.18089E-001	  3.83288E-001	  3.61233E-001	  3.68229E-001	  2.36350E-001	  1.80157E-001	  2.13650E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.00000E-004	  6.58680E-001	  5.02702E-001	  3.70032E-001	  3.51535E-001	  3.53732E-001	  5.72588E-001	  1.75564E-001	  1.86375E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.25000E-004	  6.44969E-001	  5.10395E-001	  3.84376E-001	  3.57233E-001	  3.18846E-001	  2.23687E-001	  1.58548E-001	  1.95970E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.50000E-004	  6.28493E-001	  5.10939E-001	  3.75996E-001	  3.42707E-001	  3.23377E-001	  4.76650E-001	  1.51395E-001	  1.80873E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.75000E-004	  6.29584E-001	  4.92878E-001	  3.79544E-001	  3.46600E-001	  3.07520E-001	  2.10719E-001	  1.71649E-001	  1.81510E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.00000E-004	  6.35481E-001	  4.95399E-001	  3.56907E-001	  3.55058E-001	  2.93928E-001	  3.94895E-001	  1.60806E-001	  1.77820E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.25000E-004	  6.37998E-001	  4.93769E-001	  3.75038E-001	  3.49318E-001	  2.93928E-001	  2.34020E-001	  1.70369E-001	  1.73257E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.50000E-004	  6.34953E-001	  4.99203E-001	  3.71403E-001	  3.45056E-001	  2.84867E-001	  3.08481E-001	  1.61409E-001	  1.86241E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.75000E-004	  6.37136E-001	  4.94921E-001	  3.62762E-001	  3.36554E-001	  2.92116E-001	  2.19837E-001	  1.55536E-001	  1.82449E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  3.00000E-004	  6.27736E-001	  4.95986E-001	  3.68269E-001	  3.42794E-001	  3.28814E-001	  2.57624E-001	  1.46501E-001	  1.66916E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
