ALV-7012 CGS-12F Data, Single Run Data
Date :	"6/14/2022"
Time :	"2:05:50 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     685.00000
Angle(1)[°]     :	      44.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      64.00000
Angle(4)[°]     :	      81.00000
Angle(5)[°]     :	      99.00000
Angle(6)[°]     :	     117.00000
Angle(7)[°]     :	     134.00000
Angle(8)[°]     :	     147.00000
Angle(9)[°]     :	       0.00000
Angle(10)[°]     :	       0.00000
Angle(11)[°]     :	       0.00000
Angle(12)[°]     :	       0.00000
Duration [s]    :	           9.9
Runs            :	         1
Mode            :	"12 x AUTO 25 ns STC"
MeanCR1 [kHz]   :	     486.99329
MeanCR2 [kHz]   :	     457.64111
MeanCR3 [kHz]   :	     423.36566
MeanCR4 [kHz]   :	     430.21393
MeanCR5 [kHz]   :	      94.74308
MeanCR6 [kHz]   :	     202.21710
MeanCR7 [kHz]   :	     232.36792
MeanCR8 [kHz]   :	     346.77484
MeanCR9 [kHz]   :	       0.00000
MeanCR10 [kHz]   :	       0.00000
MeanCR11 [kHz]   :	       0.00000
MeanCR12 [kHz]   :	       0.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000
DC[9][kHz]      :	       0.00000
DC[10][kHz]      :	       0.00000
DC[11][kHz]      :	       0.00000
DC[12][kHz]      :	       0.00000

"Correlation"
  2.50000E-005	  4.39037E-001	 -5.88146E-001	  1.87829E-001	  1.73577E-001	 -4.62450E-001	 -5.79709E-001	 -5.90159E-001	  1.72342E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  5.00000E-005	  7.30650E-001	  4.81531E-001	  4.02831E-001	  3.94396E-001	  5.08215E-001	  7.24830E-001	  2.28095E-001	  2.74360E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  7.50000E-005	  6.79350E-001	  5.19180E-001	  3.53564E-001	  3.58261E-001	  3.54500E-001	  2.33283E-001	  1.72778E-001	  2.15538E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.00000E-004	  6.53306E-001	  5.13076E-001	  3.73986E-001	  3.45303E-001	  3.37772E-001	  5.58400E-001	  1.69696E-001	  2.00082E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.25000E-004	  6.45914E-001	  5.17843E-001	  3.58454E-001	  3.43308E-001	  2.69957E-001	  2.13732E-001	  1.73605E-001	  1.85841E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.50000E-004	  6.46085E-001	  5.05113E-001	  3.67284E-001	  3.47846E-001	  2.75382E-001	  4.78709E-001	  1.58423E-001	  1.78788E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.75000E-004	  6.44819E-001	  5.03814E-001	  3.62394E-001	  3.34077E-001	  2.68148E-001	  2.40031E-001	  1.67818E-001	  1.88541E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.00000E-004	  6.35989E-001	  5.00171E-001	  3.58273E-001	  3.42167E-001	  3.12454E-001	  3.60710E-001	  1.71876E-001	  1.82736E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.25000E-004	  6.34501E-001	  5.09976E-001	  3.58567E-001	  3.44623E-001	  3.11550E-001	  2.16710E-001	  1.69170E-001	  1.80678E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.50000E-004	  6.47488E-001	  5.01664E-001	  3.63141E-001	  3.40194E-001	  3.01604E-001	  3.11684E-001	  1.52861E-001	  1.75919E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
